Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_4,J_3,J_2,J_1,J_0,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,4,100,0,0,23,5.8,"['8', '5', '8', '2', 0]",8,5,8,2,0,4.6,4650000
1,Athletic Club,Agirrezabala,PT,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,360000
1,Athletic Club,Ander Iru,PT,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,330000
1,Athletic Club,De Marcos,DF,4,100,0,1,28,7,"['7', '7', '9', '5', 0]",7,7,9,5,0,5.6,4350000
1,Athletic Club,Yeray Álvarez,DF,4,100,0,0,27,6.8,"['6', '8', '8', '5', 0]",6,8,8,5,0,5.4,5390000
1,Athletic Club,Daniel Vivian,DF,4,100,0,0,22,5.5,"['5', '4', '9', '4', 0]",5,4,9,4,0,4.4,3040000
1,Athletic Club,Yuri Berchiche,DF,4,50,2,0,14,7,"['8', '6', '-', '-', 0]",8,6,0,0,0,2.8,5790000
1,Athletic Club,Lekue,DF,4,50,1,0,11,5.5,"['-', '-', '8', '3', 0]",0,0,8,3,0,2.2,970000
1,Athletic Club,Capa,DF,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,690000
1,Athletic Club,Iñigo Martínez,DF,4,0,0,1,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,5220000
1,Athletic Club,Balenziaga,DF,2,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,350000
1,Athletic Club,Álex Berenguer,MD,2,100,0,1,35,8.8,"['4', '11', '11', '9', 0]",4,11,11,9,0,7.0,5590000
1,Athletic Club,Muniain,MD,1,100,0,0,23,5.8,"['3', '8', '7', '5', 0]",3,8,7,5,0,4.6,12020000
1,Athletic Club,Mikel Vesga,MD,3,100,2,0,22,5.5,"['6', '2', '9', '5', 0]",6,2,9,5,0,4.4,3080000
1,Athletic Club,Nico Williams,MD,4,75,0,0,22,5.5,"['7', '5', '5', '5', 0]",7,5,5,5,0,4.4,6510000
1,Athletic Club,Unai Vencedor,MD,2,0,0,0,4,2,"['-', '2', '-', '2', 0]",0,2,0,2,0,0.8,1950000
1,Athletic Club,Zarraga,MD,2,0,0,0,4,2,"['2', '2', '-', '-', 0]",2,2,0,0,0,0.8,880000
1,Athletic Club,Jon Morcillo,MD,3,0,0,1,0,0,"['2', '-', '-', '-', 0]",2,0,0,0,0,0.4,340000
1,Athletic Club,Malcom Adu,MD,1,0,0,0,0,0,"['-', '-', '-', '2', 0]",0,0,0,2,0,0.4,350000
1,Athletic Club,Dani García,MD,1,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,940000
1,Athletic Club,Ander Herrera,MD,1,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,3630000
1,Athletic Club,Guruzeta,DL,1,0,0,0,19,6.3,"['1', '-', '16', '2', 0]",1,0,16,2,0,3.8,1450000
1,Athletic Club,Williams,DL,0,100,0,0,14,3.5,"['5', '3', '4', '2', 0]",5,3,4,2,0,2.8,10500000
1,Athletic Club,Raúl García,DL,0,0,0,0,12,3,"['4', '3', '4', '1', 0]",4,3,4,1,0,2.4,3130000
1,Athletic Club,Sancet,DL,0,100,0,0,11,2.8,"['2', '3', '6', '0', 0]",2,3,6,0,0,2.2,4430000
1,Athletic Club,Villalibre,DL,0,25,0,0,4,4,"['4', '-', '-', '-', 0]",4,0,0,0,0,0.8,1840000
2,Club Atlético de Madrid,Oblak,PT,4,100,0,0,22,5.5,"['6', '3', '7', '6', 0]",6,3,7,6,0,4.4,6150000
2,Club Atlético de Madrid,Ivo Grbic,PT,4,0,0,0,2,2,"['-', '-', '-', '2', 0]",0,0,0,2,0,0.4,470000
2,Club Atlético de Madrid,Reinildo Mandava,DF,4,100,0,0,21,5.3,"['5', '4', '6', '6', 0]",5,4,6,6,0,4.2,5540000
2,Club Atlético de Madrid,José Giménez,DF,4,50,0,0,16,5.3,"['-', '2', '7', '7', 0]",0,2,7,7,0,3.2,4230000
2,Club Atlético de Madrid,Savic,DF,4,50,0,3,10,5,"['8', '2', '-', '-', 0]",8,2,0,0,0,2.0,4760000
2,Club Atlético de Madrid,Mario Hermoso,DF,4,0,3,0,2,2,"['-', '-', '-', '2', 0]",0,0,0,2,0,0.4,1080000
2,Club Atlético de Madrid,Nahuel Molina,DF,4,50,0,0,1,0.5,"['5', '-4', '-', '-', 0]",5,-4,0,0,0,0.2,7230000
2,Club Atlético de Madrid,Reguilón,DF,3,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,2130000
2,Club Atlético de Madrid,Felipe,DF,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,830000
2,Club Atlético de Madrid,Marcos Llorente,MD,3,100,0,0,20,5,"['4', '3', '6', '7', 0]",4,3,6,7,0,4.0,7590000
2,Club Atlético de Madrid,Lemar,MD,4,50,0,0,17,5.7,"['4', '4', '9', '-', 0]",4,4,9,0,0,3.4,4630000
2,Club Atlético de Madrid,Ferreira Carrasco,MD,2,50,0,0,16,4,"['5', '3', '2', '6', 0]",5,3,2,6,0,3.2,8140000
2,Club Atlético de Madrid,Koke,MD,2,100,0,0,16,4,"['4', '6', '3', '3', 0]",4,6,3,3,0,3.2,6430000
2,Club Atlético de Madrid,Witsel,MD,3,100,0,1,16,4,"['4', '4', '6', '2', 0]",4,4,6,2,0,3.2,5890000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,2,50,0,0,15,3.8,"['4', '4', '5', '2', 0]",4,4,5,2,0,3.0,4820000
2,Club Atlético de Madrid,Saúl Ñíguez,MD,4,75,2,0,11,3.7,"['5', '-', '4', '2', 0]",5,0,4,2,0,2.2,3990000
2,Club Atlético de Madrid,Kondogbia,MD,4,25,0,0,6,3,"['-', '-', '5', '1', 0]",0,0,5,1,0,1.2,3040000
2,Club Atlético de Madrid,Carlos Martín,MD,3,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,180000
2,Club Atlético de Madrid,Morata,DL,1,100,0,0,37,9.3,"['16', '7', '3', '11', 0]",16,7,3,11,0,7.4,17820000
2,Club Atlético de Madrid,Griezmann,DL,1,0,0,0,27,6.8,"['12', '4', '8', '3', 0]",12,4,8,3,0,5.4,12550000
2,Club Atlético de Madrid,João Félix,DL,0,100,0,0,24,6,"['13', '5', '5', '1', 0]",13,5,5,1,0,4.8,20400000
2,Club Atlético de Madrid,Correa,DL,0,0,0,0,8,2,"['2', '4', '1', '1', 0]",2,4,1,1,0,1.6,6310000
2,Club Atlético de Madrid,Matheus Cunha,DL,0,0,0,0,5,1.7,"['4', '-1', '2', '-', 0]",4,-1,2,0,0,1.0,4790000
3,CA Osasuna,Sergio Herrera,PT,4,100,0,0,14,3.5,"['4', '6', '2', '2', 0]",4,6,2,2,0,2.8,4380000
3,CA Osasuna,Juan Pérez,PT,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,190000
3,CA Osasuna,Aitor Fernández,PT,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,980000
3,CA Osasuna,David García Zub.,DF,4,100,0,0,19,4.8,"['3', '7', '5', '4', 0]",3,7,5,4,0,3.8,5070000
3,CA Osasuna,Rubén Peña,DF,4,75,0,0,14,4.7,"['5', '7', '2', '-', 0]",5,7,2,0,0,2.8,2620000
3,CA Osasuna,Unai García,DF,4,100,0,0,14,3.5,"['3', '8', '2', '1', 0]",3,8,2,1,0,2.8,1710000
3,CA Osasuna,Nacho Vidal,DF,4,50,2,0,13,3.3,"['2', '2', '5', '4', 0]",2,2,5,4,0,2.6,2660000
3,CA Osasuna,Juan Cruz,DF,4,100,0,0,12,3,"['4', '5', '1', '2', 0]",4,5,1,2,0,2.4,1470000
3,CA Osasuna,Manu Sánchez,DF,4,0,2,0,7,3.5,"['3', '-', '4', '-', 0]",3,0,4,0,0,1.4,1760000
3,CA Osasuna,Unai Dufur,DF,3,0,0,1,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,220000
3,CA Osasuna,Aridane Hernández,DF,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,1740000
3,CA Osasuna,Moi Gómez,MD,3,100,0,0,27,6.8,"['6', '6', '7', '8', 0]",6,6,7,8,0,5.4,5480000
3,CA Osasuna,Aimar Oroz,MD,2,100,0,0,23,5.8,"['8', '4', '2', '9', 0]",8,4,2,9,0,4.6,3410000
3,CA Osasuna,Brasanac,MD,2,0,0,0,14,4.7,"['5', '2', '5', '2', 0]",5,2,5,2,0,2.8,1580000
3,CA Osasuna,Rubén García,MD,3,0,0,1,18,6,"['-', '2', '5', '11', 0]",0,2,5,11,0,3.6,4010000
3,CA Osasuna,Jon Moncayola,MD,3,100,1,0,14,3.5,"['2', '6', '-', '6', 0]",2,6,0,6,0,2.8,5020000
3,CA Osasuna,Lucas Torró,MD,2,100,0,0,12,3,"['4', '4', '2', '2', 0]",4,4,2,2,0,2.4,3740000
3,CA Osasuna,Pablo Ibáñez,MD,2,0,0,0,6,3,"['2', '-', '-', '4', 0]",2,0,0,4,0,1.2,190000
3,CA Osasuna,Kike Barja,MD,1,25,0,1,3,1.5,"['-1', '-', '4', '-', 0]",-1,0,4,0,0,0.6,600000
3,CA Osasuna,Roberto Torres,MD,1,0,0,0,2,2,"['-', '2', '-', '-', 0]",0,2,0,0,0,0.4,1030000
3,CA Osasuna,Iker Benito,MD,0,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,240000
3,CA Osasuna,Ezequiel Ávila,DL,0,100,0,0,24,6,"['9', '9', '2', '4', 0]",9,9,2,4,0,4.8,12270000
3,CA Osasuna,Kike García,DL,0,0,0,0,18,4.5,"['4', '11', '2', '1', 0]",4,11,2,1,0,3.6,4150000
3,CA Osasuna,Budimir,DL,0,50,0,0,10,3.3,"['-', '5', '3', '2', 0]",0,5,3,2,0,2.0,6070000
3,CA Osasuna,Abde Ezzalzouli,DL,0,0,0,0,8,8,"['-', '-', '-', '8', 0]",0,0,0,8,0,1.6,2750000
3,CA Osasuna,Barbero,DL,0,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,210000
4,RCD Espanyol de Barcelona,Álvaro Fernández,PT,4,25,0,0,8,8,"['-', '-', '-', '8', 0]",0,0,0,8,0,1.6,1000000
4,RCD Espanyol de Barcelona,Joan García,PT,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,210000
4,RCD Espanyol de Barcelona,Lecomte,PT,4,75,0,0,-2,-0.7,"['1', '0', '-3', '-', 0]",1,0,-3,0,0,-0.4,2650000
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,4,100,2,0,20,5,"['5', '5', '4', '6', 0]",5,5,4,6,0,4.0,3780000
4,RCD Espanyol de Barcelona,Calero,DF,4,75,0,0,17,4.3,"['4', '2', '5', '6', 0]",4,2,5,6,0,3.4,1510000
4,RCD Espanyol de Barcelona,Rubén Sánchez Sáez,DF,4,75,0,0,15,5,"['5', '6', '4', '-', 0]",5,6,4,0,0,3.0,2320000
4,RCD Espanyol de Barcelona,Brian Oliván,DF,4,100,0,0,15,3.8,"['6', '2', '1', '6', 0]",6,2,1,6,0,3.0,2140000
4,RCD Espanyol de Barcelona,Óscar Gil,DF,3,100,0,0,10,2.5,"['1', '0', '2', '7', 0]",1,0,2,7,0,2.0,2010000
4,RCD Espanyol de Barcelona,Omar El Hilali,DF,4,0,1,0,4,4,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,160000
4,RCD Espanyol de Barcelona,Simo,DF,3,0,0,0,2,2,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,160000
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,3,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,1240000
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,2,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,3,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,640000
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,1,50,0,0,-6,-3,"['2', '-8', '-', '-', 0]",2,-8,0,0,0,-1.2,1630000
4,RCD Espanyol de Barcelona,Edu Expósito,MD,1,75,1,0,26,6.5,"['2', '8', '6', '10', 0]",2,8,6,10,0,5.2,4960000
4,RCD Espanyol de Barcelona,Sergi Darder,MD,3,100,0,0,26,6.5,"['11', '6', '5', '4', 0]",11,6,5,4,0,5.2,7040000
4,RCD Espanyol de Barcelona,Vinicius Souza,MD,1,100,0,0,19,4.8,"['2', '7', '4', '6', 0]",2,7,4,6,0,3.8,3260000
4,RCD Espanyol de Barcelona,Keidi Bare,MD,1,0,0,0,9,3,"['-', '4', '2', '3', 0]",0,4,2,3,0,1.8,790000
4,RCD Espanyol de Barcelona,Javi Puado,MD,2,50,0,0,7,2.3,"['-', '2', '2', '3', 0]",0,2,2,3,0,1.4,1850000
4,RCD Espanyol de Barcelona,Nico Melamed,MD,1,50,0,0,7,2.3,"['3', '2', '2', '-', 0]",3,2,2,0,0,1.4,1540000
4,RCD Espanyol de Barcelona,Lazo,MD,1,0,0,0,4,2,"['2', '-', '-', '2', 0]",2,0,0,2,0,0.8,890000
4,RCD Espanyol de Barcelona,Luca Koleosho,MD,2,0,0,0,3,1.5,"['1', '2', '-', '-', 0]",1,2,0,0,0,0.6,270000
4,RCD Espanyol de Barcelona,Gori,MD,1,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Villahermosa,MD,0,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Pol Lozano,MD,0,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,260000
4,RCD Espanyol de Barcelona,Joselu,DL,0,100,0,0,28,7,"['10', '5', '11', '2', 0]",10,5,11,2,0,5.6,14220000
5,FC Barcelona,Ter Stegen,PT,4,100,0,0,32,8,"['8', '7', '7', '10', 0]",8,7,7,10,0,6.4,5880000
5,FC Barcelona,Iñaki Peña,PT,4,0,5,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,580000
5,FC Barcelona,Eric García,DF,4,100,0,0,28,7,"['5', '5', '7', '11', 0]",5,5,7,11,0,5.6,3460000
5,FC Barcelona,Kounde,DF,4,50,1,0,22,11,"['-', '-', '10', '12', 0]",0,0,10,12,0,4.4,11950000
5,FC Barcelona,Ronald Araujo,DF,4,100,1,0,17,4.3,"['4', '3', '3', '7', 0]",4,3,3,7,0,3.4,8060000
5,FC Barcelona,Alejandro Balde,DF,4,75,1,2,12,4,"['-', '5', '5', '2', 0]",0,5,5,2,0,2.4,2480000
5,FC Barcelona,Christensen,DF,4,50,0,0,10,5,"['2', '3', '-', '5', 0]",2,3,0,5,0,2.0,4650000
5,FC Barcelona,Jordi Alba,DF,3,25,0,0,10,3.3,"['6', '4', '-', '-', 0]",6,4,0,0,0,2.0,5950000
5,FC Barcelona,Marcos Alonso,DF,4,0,1,1,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,2540000
5,FC Barcelona,Héctor Bellerín,DF,3,0,0,1,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,2310000
5,FC Barcelona,Piqué,DF,2,0,0,2,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,2790000
5,FC Barcelona,Pedri,MD,2,100,0,0,31,7.8,"['5', '9', '12', '5', 0]",5,9,12,5,0,6.2,17580000
5,FC Barcelona,Sergi Roberto,MD,4,0,0,0,22,5.5,"['2', '4', '11', '5', 0]",2,4,11,5,0,4.4,1510000
5,FC Barcelona,De Jong,MD,3,25,0,0,17,4.3,"['6', '5', '4', '2', 0]",6,5,4,2,0,3.4,8160000
5,FC Barcelona,Gavi,MD,3,100,0,0,16,4,"['2', '4', '5', '5', 0]",2,4,5,5,0,3.2,11570000
5,FC Barcelona,Sergio Busquets,MD,4,75,1,2,15,5,"['3', '-', '5', '7', 0]",3,0,5,7,0,3.0,8640000
5,FC Barcelona,Kessié,MD,4,0,1,0,8,2.7,"['2', '2', '4', '-', 0]",2,2,4,0,0,1.6,4450000
5,FC Barcelona,Pjanic,MD,3,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,1030000
